Property Name,Property Type,Leasing Portfolio,Property Address,Floorplans,Units,Total Beds,"# of Model Bed Leases, Current Term",New Leases Signed,Renewals Signed,Total Leases Signed,Pre-Lease %,Weekly Leases Needed to Achieve 90% at Week 52,Weekly Leases Needed to Achieve 95% at Week 52,Weekly Leases Needed to Achieve 100% at Week 52,Create PDF WPO,Create Excel WPO
SOVA,Active Property,Student Housing Portfolio,"3021 Hidden Forest Court, Marietta, Georgia 30066",10,248,816,4,491,462,953,116.78921568627%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=SOVA - WPO - 12-16-2024&dbid=bq5hz7i53&msid=11&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=11&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
Station Nine,Active Property,Conventional Portfolio,"2211 Hillsborough Road, Durham, North Carolina 27705",18,0,323,1,220,82,302,93.498452012384%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=Station Nine - WPO - 12-16-2024&dbid=bq5hz7i53&msid=12&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=12&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
The Academy at Frisco,Active Property,Student Housing Portfolio,"413 North West Avenue, Fayetteville, Arkansas 72701",14,218,640,4,343,341,684,106.875%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=The Academy at Frisco - WPO - 12-16-2024&dbid=bq5hz7i53&msid=13&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=13&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
The Academy Chorro,Active Property,Student Housing Portfolio,"22 Chorro Street, San Luis Obispo, California 93405",6,27,0,0,75,23,98,,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=The Academy Chorro - WPO - 12-16-2024&dbid=bq5hz7i53&msid=14&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=14&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
The Academy on Charles,Active Property,Student Housing Portfolio,"3700 North Charles Street, Baltimore, Maryland 21218",19,106,328,4,208,127,335,102.13414634146%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=The Academy on Charles - WPO - 12-16-2024&dbid=bq5hz7i53&msid=15&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=15&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
The Academy Palomar,Active Property,Student Housing Portfolio,"71 Palomar Avenue, San Luis Obispo, California 93405",6,32,0,0,93,38,131,,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=The Academy Palomar - WPO - 12-16-2024&dbid=bq5hz7i53&msid=16&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=16&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
The Caswell at Runnymeade,Active Property,Conventional Portfolio,"1000 Bluebird View, Newtown Square, Pennsylvania 19073",17,249,0,0,164,18,182,,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=The Caswell at Runnymeade - WPO - 12-16-2024&dbid=bq5hz7i53&msid=24&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=24&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
The Dean Campustown,Active Property,Student Housing Portfolio,"708 South Sixth Street, Champaign, Illinois 61820",21,271,672,4,402,281,683,101.6369047619%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=The Dean Campustown - WPO - 12-16-2024&dbid=bq5hz7i53&msid=18&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=18&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
The Dean Reno,Active Property,Student Housing Portfolio,,14,205,773,6,419,245,664,85.899094437257%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=The Dean Reno - WPO - 12-16-2024&dbid=bq5hz7i53&msid=21&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=21&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
The Rise at Northgate,Active Property,Student Housing Portfolio,"717 University Drive, College Station, Texas 77840",42,165,465,0,203,273,476,102.36559139785%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=The Rise at Northgate - WPO - 12-16-2024&dbid=bq5hz7i53&msid=17&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=17&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
The Venue at North Campus,Active Property,Student Housing Portfolio,"13702 North 42nd Street, Tampa, Florida 33613",7,0,734,0,340,353,693,94.41416893733%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=The Venue at North Campus - WPO - 12-16-2024&dbid=bq5hz7i53&msid=23&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=23&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
Torre,Active Property,Student Housing Portfolio,,62,0,558,6,360,166,526,94.26523297491%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=Torre - WPO - 12-16-2024&dbid=bq5hz7i53&msid=19&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=19&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
